t_h,genotype,nascent_pool,r_syn
0.0,WT,0.0,1.0
1.0,WT,0.8847968677143805,1.0
2.0,WT,1.5738773611494663,1.0
3.0,WT,2.1105337890359412,1.0
4.0,WT,2.5284822353142307,1.0
5.0,WT,2.8539808125592394,1.0
6.0,WT,3.107479359406281,1.0
7.0,WT,3.3049042261982193,1.0
8.0,WT,3.458658867053549,1.0
9.0,WT,3.5784031017525426,1.0
10.0,WT,3.6716600055044046,1.0
11.0,WT,3.7442885551731697,1.0
12.0,WT,3.800851726528544,1.0
13.0,WT,3.844903168673112,1.0
14.0,WT,3.879210466310726,1.0
15.0,WT,3.9059290165759637,1.0
16.0,WT,3.926737444445063,1.0
17.0,WT,3.942943064364003,1.0
18.0,WT,3.955564013847031,1.0
19.0,WT,3.9653932191875176,1.0
20.0,WT,3.973048212003658,1.0
21.0,WT,3.9790099264032746,1.0
22.0,WT,3.983652914246144,1.0
23.0,WT,3.9872688768139612,1.0
24.0,WT,3.9900849912933345,1.0
0.0,missense_S152I_like,0.0,1.0
1.0,missense_S152I_like,0.8847968677143805,1.0
2.0,missense_S152I_like,1.5738773611494663,1.0
3.0,missense_S152I_like,2.1105337890359412,1.0
4.0,missense_S152I_like,2.5284822353142307,1.0
5.0,missense_S152I_like,2.8539808125592394,1.0
6.0,missense_S152I_like,3.107479359406281,1.0
7.0,missense_S152I_like,3.3049042261982193,1.0
8.0,missense_S152I_like,3.458658867053549,1.0
9.0,missense_S152I_like,3.5784031017525426,1.0
10.0,missense_S152I_like,3.6716600055044046,1.0
11.0,missense_S152I_like,3.7442885551731697,1.0
12.0,missense_S152I_like,3.800851726528544,1.0
13.0,missense_S152I_like,3.844903168673112,1.0
14.0,missense_S152I_like,3.879210466310726,1.0
15.0,missense_S152I_like,3.9059290165759637,1.0
16.0,missense_S152I_like,3.926737444445063,1.0
17.0,missense_S152I_like,3.942943064364003,1.0
18.0,missense_S152I_like,3.955564013847031,1.0
19.0,missense_S152I_like,3.9653932191875176,1.0
20.0,missense_S152I_like,3.973048212003658,1.0
21.0,missense_S152I_like,3.9790099264032746,1.0
22.0,missense_S152I_like,3.983652914246144,1.0
23.0,missense_S152I_like,3.9872688768139612,1.0
24.0,missense_S152I_like,3.9900849912933345,1.0
0.0,null_NMD,0.0,0.15
1.0,null_NMD,0.13271953015715707,0.15
2.0,null_NMD,0.23608160417241994,0.15
3.0,null_NMD,0.31658006835539115,0.15
4.0,null_NMD,0.3792723352971346,0.15
5.0,null_NMD,0.4280971218838859,0.15
6.0,null_NMD,0.4661219039109421,0.15
7.0,null_NMD,0.49573563392973286,0.15
8.0,null_NMD,0.5187988300580324,0.15
9.0,null_NMD,0.5367604652628813,0.15
10.0,null_NMD,0.5507490008256607,0.15
11.0,null_NMD,0.5616432832759755,0.15
12.0,null_NMD,0.5701277589792816,0.15
13.0,null_NMD,0.5767354753009668,0.15
14.0,null_NMD,0.5818815699466089,0.15
15.0,null_NMD,0.5858893524863945,0.15
16.0,null_NMD,0.5890106166667595,0.15
17.0,null_NMD,0.5914414596546005,0.15
18.0,null_NMD,0.5933346020770546,0.15
19.0,null_NMD,0.5948089828781277,0.15
20.0,null_NMD,0.5959572318005487,0.15
21.0,null_NMD,0.5968514889604911,0.15
22.0,null_NMD,0.5975479371369216,0.15
23.0,null_NMD,0.5980903315220941,0.15
24.0,null_NMD,0.5985127486940002,0.15
