C_uM,folded_preferential,folded_nonpreferential
0.01,0.5819656416903556,0.5804670909491453
0.012589254117941675,0.5823525149538535,0.5804670909491453
0.015848931924611134,0.5828388940141801,0.5804670909491453
0.0199526231496888,0.5834501552157181,0.5804670909491453
0.025118864315095794,0.584218019433812,0.5804670909491453
0.03162277660168379,0.5851820636524796,0.5804670909491453
0.039810717055349734,0.5863915482430794,0.5804670909491453
0.05011872336272725,0.5879075984801165,0.5804670909491453
0.06309573444801933,0.5898057646258179,0.5804670909491453
0.07943282347242814,0.5921789540188929,0.5804670909491454
0.1,0.5951406702705553,0.5804670909491453
0.12589254117941676,0.5988283928844869,0.5804670909491453
0.15848931924611143,0.6034067626141716,0.5804670909491453
0.19952623149688797,0.6090699736446663,0.5804670909491454
0.25118864315095807,0.6160423788840969,0.5804670909491454
0.31622776601683794,0.624575762242332,0.5804670909491453
0.3981071705534973,0.6349410330314575,0.5804670909491452
0.5011872336272725,0.64741136978477,0.5804670909491453
0.6309573444801934,0.6622334308048763,0.5804670909491453
0.7943282347242817,0.6795839058486584,0.5804670909491453
1.0,0.6995116614009951,0.5804670909491453
1.2589254117941675,0.7218724376150256,0.5804670909491453
1.584893192461114,0.7462735577567308,0.5804670909491453
1.9952623149688808,0.7720562966260778,0.5804670909491453
2.5118864315095824,0.7983433965064005,0.5804670909491453
3.1622776601683795,0.8241583924544116,0.5804670909491454
3.981071705534973,0.848586108680979,0.5804670909491454
5.011872336272725,0.8709159745194152,0.5804670909491452
6.309573444801936,0.8907178991377771,0.5804670909491453
7.943282347242821,0.9078388449916316,0.5804670909491453
10.0,0.9223445723296189,0.5804670909491454
12.589254117941675,0.9344425189619839,0.5804670909491454
15.848931924611142,0.9444122163605722,0.5804670909491452
19.952623149688808,0.9525544575026627,0.5804670909491454
25.11886431509582,0.9591596511568778,0.5804670909491452
31.622776601683793,0.964491112638587,0.5804670909491454
39.810717055349734,0.9687783146329462,0.5804670909491453
50.11872336272725,0.9722160540633772,0.5804670909491454
63.095734448019364,0.9749667473628764,0.5804670909491454
79.43282347242821,0.9771641184438973,0.5804670909491454
100.0,0.978917281417469,0.5804670909491453
