f_folded_cargo,eta_M6P_glyco_ok,eta_M6P_glyco_site_dead,secretory_bypass_risk
0.05,0.15000000000000002,0.05,0.255
0.07435897435897436,0.20632411067193673,0.05,0.238102766798419
0.09871794871794873,0.2547794117647059,0.05,0.2235661764705882
0.12307692307692308,0.29690721649484536,0.05,0.21092783505154636
0.14743589743589744,0.3338709677419355,0.05,0.19983870967741935
0.1717948717948718,0.366565349544073,0.05,0.19003039513677808
0.19615384615384618,0.39568965517241383,0.05,0.18129310344827584
0.2205128205128205,0.4217983651226158,0.05,0.17346049046321524
0.2448717948717949,0.44533678756476686,0.05,0.16639896373056992
0.2692307692307692,0.46666666666666673,0.05,0.15999999999999995
0.2935897435897436,0.4860849056603774,0.05,0.1541745283018868
0.31794871794871793,0.5038374717832957,0.05,0.14884875846501128
0.3423076923076923,0.5201298701298701,0.05,0.14396103896103896
0.36666666666666664,0.535135135135135,0.05,0.1394594594594595
0.391025641025641,0.549,0.05,0.13529999999999998
0.41538461538461535,0.561849710982659,0.05,0.1314450867052023
0.43974358974358974,0.5737918215613382,0.05,0.12786245353159853
0.4641025641025641,0.5849192100538599,0.05,0.12452423698384202
0.48846153846153845,0.5953125,0.05,0.12140625
0.5128205128205129,0.6050420168067228,0.05,0.11848739495798316
0.5371794871794872,0.6141693811074919,0.05,0.11574918566775244
0.5615384615384615,0.6227488151658769,0.05,0.11317535545023694
0.5858974358974359,0.6308282208588958,0.05,0.11075153374233127
0.6102564102564103,0.6384500745156483,0.05,0.10846497764530551
0.6346153846153847,0.6456521739130435,0.05,0.10630434782608694
0.6589743589743591,0.6524682651622004,0.05,0.10425952045133989
0.6833333333333333,0.6589285714285714,0.05,0.10232142857142858
0.7076923076923077,0.6650602409638554,0.05,0.10048192771084337
0.7320512820512821,0.6708877284595302,0.05,0.09873368146214095
0.7564102564102565,0.6764331210191085,0.05,0.09707006369426746
0.7807692307692308,0.6817164179104479,0.05,0.09548507462686563
0.8051282051282052,0.6867557715674363,0.05,0.09397326852976912
0.8294871794871795,0.6915676959619952,0.05,0.09252969121140144
0.8538461538461539,0.6961672473867596,0.05,0.09114982578397211
0.8782051282051283,0.7005681818181819,0.05,0.08982954545454543
0.9025641025641026,0.7047830923248054,0.05,0.08856507230255838
0.926923076923077,0.7088235294117647,0.05,0.08735294117647058
0.9512820512820513,0.7127001067235859,0.05,0.08618996798292423
0.9756410256410257,0.7164225941422595,0.05,0.08507322175732214
1.0,0.72,0.05,0.084
