t_h,scenario,GAG_level
0.0,disease_low_E,80.0
2.0,disease_low_E,77.31272976342616
4.0,disease_low_E,74.73363462890366
6.0,disease_low_E,72.25847794194149
8.0,disease_low_E,69.88318694403695
10.0,disease_low_E,67.60384630730364
12.0,disease_low_E,65.41669193132581
14.0,disease_low_E,63.3181049921807
16.0,disease_low_E,61.304606233900344
18.0,disease_low_E,59.37285049295961
20.0,disease_low_E,57.51962144667661
22.0,disease_low_E,55.741826576699935
24.0,disease_low_E,54.036492339032975
26.0,disease_low_E,52.400759532311966
28.0,disease_low_E,50.8318788563124
30.0,disease_low_E,49.32720665290832
32.0,disease_low_E,47.8842008219537
34.0,disease_low_E,46.50041690479344
36.0,disease_low_E,45.173504328346894
38.0,disease_low_E,43.90120280293769
40.0,disease_low_E,42.68133886727212
42.0,disease_low_E,41.511822574194426
44.0,disease_low_E,40.39064431107153
46.0,disease_low_E,39.31587174888201
48.0,disease_low_E,38.28564691430509
0.0,S3_only_inventory,80.0
2.0,S3_only_inventory,76.84500629768723
4.0,S3_only_inventory,73.82342608156776
6.0,S3_only_inventory,70.9301108752546
8.0,S3_only_inventory,68.16010457839252
10.0,S3_only_inventory,65.50863544919576
12.0,S3_only_inventory,62.971108435110075
14.0,S3_only_inventory,60.54309784271574
16.0,S3_only_inventory,58.220340338168455
18.0,S3_only_inventory,55.99872826956877
20.0,S3_only_inventory,53.87430330266075
22.0,S3_only_inventory,51.843250361190094
24.0,S3_only_inventory,49.9018918631111
26.0,S3_only_inventory,48.04668224362438
28.0,S3_only_inventory,46.274202755767966
30.0,S3_only_inventory,44.581156538982285
32.0,S3_only_inventory,42.96436394573892
34.0,S3_only_inventory,41.420758115977726
36.0,S3_only_inventory,39.94738078875258
38.0,S3_only_inventory,38.54137834015639
40.0,S3_only_inventory,37.199998036296705
42.0,S3_only_inventory,35.92058448983851
44.0,S3_only_inventory,34.70057630843181
46.0,S3_only_inventory,33.53750292321141
48.0,S3_only_inventory,32.428981585502456
0.0,S3_and_S7_window,80.0
2.0,S3_and_S7_window,76.88706381382987
4.0,S3_and_S7_window,73.90518988708564
6.0,S3_and_S7_window,71.04931095968787
8.0,S3_and_S7_window,68.3145497536911
10.0,S3_and_S7_window,65.69621111867428
12.0,S3_and_S7_window,63.189774516688466
14.0,S3_and_S7_window,60.79088683743036
16.0,S3_and_S7_window,58.4953555344973
18.0,S3_and_S7_window,56.299142073693694
20.0,S3_and_S7_window,54.19835568440353
22.0,S3_and_S7_window,52.189247405023714
24.0,S3_and_S7_window,50.268204413374576
26.0,S3_and_S7_window,48.43174463287374
28.0,S3_and_S7_window,46.67651160508917
30.0,S3_and_S7_window,44.99926961908389
32.0,S3_and_S7_window,43.396899087742185
34.0,S3_and_S7_window,41.866392161034724
36.0,S3_and_S7_window,40.40484856595202
38.0,S3_and_S7_window,39.009471662622225
40.0,S3_and_S7_window,37.67756470594335
42.0,S3_and_S7_window,36.406527301911744
44.0,S3_and_S7_window,35.19385204772828
46.0,S3_and_S7_window,34.03712134471907
48.0,S3_and_S7_window,32.934004373126285
0.0,S3_tight_no_window,80.0
2.0,S3_tight_no_window,77.51178950692712
4.0,S3_tight_no_window,75.12161313252656
6.0,S3_tight_no_window,72.82562347468469
8.0,S3_tight_no_window,70.6201238332272
10.0,S3_tight_no_window,68.50156229473563
12.0,S3_tight_no_window,66.46652605052361
14.0,S3_tight_no_window,64.51173593861628
16.0,S3_tight_no_window,62.634041200931414
18.0,S3_tight_no_window,60.83041444719667
20.0,S3_tight_no_window,59.097946817465676
22.0,S3_tight_no_window,57.43384333540708
24.0,S3_tight_no_window,55.83541844484266
26.0,S3_tight_no_window,54.30009172230061
28.0,S3_tight_no_window,52.82538375862842
30.0,S3_tight_no_window,51.408912202978996
32.0,S3_tight_no_window,50.04838796274128
34.0,S3_tight_no_window,48.7416115532369
36.0,S3_tight_no_window,47.48646959124263
38.0,S3_tight_no_window,46.28093142663073
40.0,S3_tight_no_window,45.12304590664109
42.0,S3_tight_no_window,44.01093826751401
44.0,S3_tight_no_window,42.94280714841857
46.0,S3_tight_no_window,41.916921722811225
48.0,S3_tight_no_window,40.93161894255104
0.0,WT,80.0
2.0,WT,75.98990693143524
4.0,WT,72.16461417531205
6.0,WT,68.51741284427177
8.0,WT,65.04182646130432
10.0,WT,61.731597466124406
12.0,WT,58.580674196263914
14.0,WT,55.58319838230171
16.0,WT,52.733493202386406
18.0,WT,50.02605194583495
20.0,WT,47.45552733875129
22.0,WT,45.01672158596125
24.0,WT,42.70457718278233
26.0,WT,40.51416854698771
28.0,WT,38.440694515608776
30.0,WT,36.4794717428954
32.0,WT,34.62592902489652
34.0,WT,32.87560256296074
36.0,WT,31.224132163370918
38.0,WT,29.667258353842342
40.0,WT,28.20082038037971
42.0,WT,26.820755030744934
44.0,WT,25.52309621431833
46.0,WT,24.30397521321984
48.0,WT,23.159621506914288
